BusNumber,BusType,Category,Capacity,DoubleDeck,WheelChairs,BikeRacks
104,Dart SPD Pointer 2,Conventional,57,0,2,2
105,Dart SPD Pointer 2,Conventional,57,0,2,2
106,Dart SPD Pointer 2,Conventional,57,0,2,2
107,Dart SPD Pointer 2,Conventional,57,0,2,2
110,Dart SPD Pointer 2,Conventional,57,0,2,2
111,Dart SPD Pointer 2,Conventional,57,0,2,2
112,Dart SPD Pointer 2,Conventional,57,0,2,2
221,Dart SPD Pointer 2,Conventional,57,0,2,2
222,Dart SPD Pointer 2,Conventional,57,0,2,2
223,Dart SPD Pointer 2,Conventional,57,0,2,2
224,Dart SPD Pointer 2,Conventional,57,0,2,2
225,Dart SPD Pointer 2,Conventional,57,0,2,2
226,Dart SPD Pointer 2,Conventional,57,0,2,2
227,Dart SPD Pointer 2,Conventional,57,0,2,2
228,Dart SPD Pointer 2,Conventional,57,0,2,2
229,Dart SPD Pointer 2,Conventional,57,0,2,2
230,Dart SPD Pointer 2,Conventional,57,0,2,2
236,Dart SPD Pointer 2,Conventional,57,0,2,2
4060,Vicinity 30ft,Conventional,44,0,2,2
4061,Vicinity 30ft,Conventional,44,0,2,2
4062,Vicinity 30ft,Conventional,44,0,2,2
4063,Vicinity 30ft,Conventional,44,0,2,2
4064,Vicinity 30ft,Conventional,44,0,2,2
4065,Vicinity 30ft,Conventional,44,0,2,2
4066,Vicinity 30ft,Conventional,44,0,2,2
4067,Vicinity 30ft,Conventional,44,0,2,2
4400,Vicinity 35ft,Conventional,44,0,2,2
6000,LFS,Conventional,69,0,2,2
6001,LFS,Conventional,69,0,2,2
6002,LFS,Conventional,69,0,2,2
6003,LFS,Conventional,69,0,2,2
6004,LFS,Conventional,69,0,2,2
6005,LFS,Conventional,69,0,2,2
8095,NFI D40LF,Conventional,70,0,2,2
8100,NFI D40LF,Conventional,70,0,2,2
8101,NFI D40LF,Conventional,70,0,2,2
8102,NFI D40LF,Conventional,70,0,2,2
8103,NFI D40LF,Conventional,70,0,2,2
8106,NFI D40LF,Conventional,70,0,2,2
8108,NFI D40LF,Conventional,70,0,2,2
