stop_id,stop_name,stop_lat,stop_lon,parent_station
100002,Government at Belleville (SB),48.419736,-123.368999,
100003,Legislature Terminus Bay D,48.419141,-123.368942,
100004,Superior at Government (WB),48.418292,-123.369349,
100005,Belleville at Douglas (WB),48.420489,-123.367333,
100008,Superior at Menzies (WB),48.418261,-123.372801,
100009,Patrica Bay at Haliburton (SB),48.51395,-123.384455,
100010,Douglas at Humboldt (NB),48.4218948,-123.3659556,
100011,Menzies at Superior (SB),48.417842,-123.372635,
100012,Douglas at Elliot Street (NB),48.419223,-123.365871,
100013,Menzies at Michigan (NB),48.417168,-123.372808,
100014,Gordon Head at San Juan (SB),48.47933622,-123.3076121,
100015,Humboldt at Penwell (SB),48.42155146,-123.365418,
100016,Sooke at Townsend (EB),48.37837,-123.722045,
100017,Burdett at Douglas (EB),48.422044,-123.365448,
100018,Sooke 5250 block (EB),48.389028,-123.642837,
100019,Douglas at Courtney (SB),48.422729,-123.365951,
100021,Superior at Oswego (EB),48.419392,-123.376034,
100022,Menzies at Michigan (SB),48.416605,-123.373333,
100024,Blanshard Terminus Bay B,48.421222,-123.363362,
100025,Blanshard Terminus Bay A ,48.421881,-123.36407,
100026,Government at Broughton (NB),48.424059,-123.36795,
100028,Fort at Langley (EB),48.424948,-123.368905,
100029,Legislature Terminus Bay C,48.418968,-123.368941,
100030,Oswego at Michigan (NB),48.418739,-123.377113,
100031,Menzies at Simcoe (NB),48.415551,-123.373694,
100032,Douglas at Fort (NB),48.424366,-123.365305,
100033,Fort at Douglas (EB),48.424495,-123.36457,
100034,Douglas at Fort (SB),48.424957,-123.365339,
100035,Fairfield at Quadra (WB),48.420206,-123.36074,
100036,Menzies at Simcoe (SB),48.414961,-123.374471,
100037,Douglas at Avalon (NB),48.414869,-123.366292,
100039,Fairfield at Quadra (EB),48.420182,-123.360993,
100040,Humboldt at Quadra (WB),48.418809,-123.361062,
100041,Humboldt at Quadra (EB),48.418614,-123.361003,
100042,Douglas at View (SB),48.425742,-123.365108,
100043,Fairfield at Quadra (EB),48.419355,-123.360263,
100044,Oswego at St James (NB),48.417058,-123.378942,
100045,Fort at Blanshard (EB),48.424168,-123.361818,
100046,Douglas at Avalon (SB),48.413574,-123.367266,
100047,Wharf at Yates (SB),48.427086,-123.370485,
100048,Yates at Broad (WB),48.426436,-123.365694,
100049,Niagara at Medana (WB),48.413682,-123.375213,
100050,Government at Johnson (NB),48.427221,-123.36723,
100051,Douglas at Yates (NB),48.426702,-123.364656,
100052,Niagara at Medana (EB),48.41357,-123.37527,
100053,Johnson at Store (EB),48.42774,-123.369684,
100054,Niagara at Clarence (WB),48.412986,-123.373735,
100055,Johnson at Broad (EB),48.427247,-123.365612,
100056,Fairfield at Vancouver (EB),48.418359,-123.358644,
100058,Niagara at Clarence (EB),48.412816,-123.37365,
100059,Humboldt at Vancouver (EB),48.417346,-123.359065,
100060,Humboldt at Vancouver (WB),48.417461,-123.358954,
100061,Gorge at Millgrove (EB),48.44659758,-123.3949888,
100062,Vancouver at Collinson (SB),48.418881,-123.358205,
100063,Johnson at Douglas (EB),48.427049,-123.363961,
100064,Fort at Quadra (EB),48.423881,-123.359202,
100065,Niagara at Government (WB),48.412238,-123.372097,
100068,Yates at Quadra (WB),48.425877,-123.360565,
100069,Quadra at View (NB),48.424419,-123.359495,
100070,Fairfield at Vancouver (EB),48.418178,-123.35743,
100071,University at Ring (NB),48.46011166,-123.3144353,
100072,Niagara at Government (EB),48.411928,-123.371791,
100073,Fairfield at Vancouver (WB),48.418372,-123.357998,
100074,Richardson at Vancouver (EB),48.41983,-123.357267,
100075,Richardson at Vancouver (WB),48.419959,-123.357471,
