service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,feed_days_count,service_days_count,each_day_count,dof,actual_dof,dof_group,regular_service,mf_label
aaVIC1804-MV1804WK-Weekday-24,1,1,1,1,1,0,0,20180615,20180629,80,11,0;2;2;2;2;3;0,12345,,,0.26,
aaVIC1804-MV1804WK-Weekday-24-0000100,0,0,0,0,1,0,0,20180615,20180629,80,3,0;0;0;0;0;3;0,5,,,0.26,
aaVIC1804-MV1804WK-Weekday-24-1111000,1,1,1,1,0,0,0,20180615,20180629,80,8,0;2;2;2;2;0;0,1234,,,0.17,
aaVIC1804-MV1804WK-Weekday-24-1101000,1,1,0,1,0,0,0,20180615,20180629,80,6,0;2;2;0;2;0;0,124,,,0.17,
aaVIC1804-MV1804WK-Weekday-24-0010100,0,0,1,0,1,0,0,20180615,20180629,80,5,0;0;0;2;0;3;0,35,,,0.26,
aaVIC1804-MVSA1804-Saturday-28,0,0,0,0,0,1,0,20180616,20180630,80,3,0;0;0;0;0;0;3,6,,,0.26,
aaVIC1804-MV1804SU-Sunday-22,0,0,0,0,0,0,1,20180617,20180624,80,2,2;0;0;0;0;0;0,0,,,0.17,
aaVIC1804-MV1804ST-Sunday-99,0,0,0,0,0,0,1,20180701,20180701,80,1,1;0;0;0;0;0;0,0,,,0.09,
aaVIC1807-MV1807ST-Sunday-15,0,0,0,0,0,0,1,20180702,20180702,80,1,0;1;0;0;0;0;0,0,,,0.09,
aaVIC1807-MV1807WK-Weekday-26,1,1,1,1,1,0,0,20180703,20180831,80,43,0;7;9;9;9;9;0,12345,2345,1,0.79,TWThF
aaVIC1807-MV1807WK-Weekday-26-0000100,0,0,0,0,1,0,0,20180703,20180831,80,9,0;0;0;0;0;9;0,5,5,1,0.79,F
aaVIC1807-MV1807WK-Weekday-26-1111000,1,1,1,1,0,0,0,20180703,20180831,80,34,0;7;9;9;9;0;0,1234,234,1,0.79,TWTh
aaVIC1807-MV1807SA-Saturday-07,0,0,0,0,0,1,0,20180707,20180901,80,9,0;0;0;0;0;0;9,6,6,2,0.79,
aaVIC1807-MV1807SU-Sunday-05,0,0,0,0,0,0,1,20180708,20180902,80,9,9;0;0;0;0;0;0,0,0,3,0.79,
aaVIC1807-MV1807ST-Sunday-11,0,0,0,0,0,0,1,20180806,20180806,80,1,0;1;0;0;0;0;0,0,,,0.09,
