stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,stop_short_name,,,
100002,Government at Belleville (SB),48.419736,-123.368999,100002,0,,Government at Belleville (SB),,,
100003,Legislature Terminus Bay D,48.419141,-123.368942,100003,0,,Legislature Terminus Bay D,,,
100004,Superior at Government (WB),48.418292,-123.369349,100004,0,,Superior at Government (WB),,,
100005,Belleville at Douglas (WB),48.420489,-123.367333,100005,0,,Belleville at Douglas (WB),,,922
100008,Superior at Menzies (WB),48.418261,-123.372801,100008,0,,Superior at Menzies (WB),,,
100009,Patrica Bay at Haliburton (SB),48.51395,-123.384455,100009,0,,Patrica Bay at Haliburton (SB),,,
100010,Douglas at Humboldt (NB),48.4218948,-123.3659556,100010,0,,Douglas at Humboldt (NB),,,
100011,Menzies at Superior (SB),48.417842,-123.372635,100011,0,,Menzies at Superior (SB),,,
100012,Douglas at Elliot Street (NB),48.419223,-123.365871,100012,0,,Douglas at Elliot Street (NB),,,
100013,Menzies at Michigan (NB),48.417168,-123.372808,100013,0,,Menzies at Michigan (NB),,,
100014,Gordon Head at San Juan (SB),48.47933622,-123.3076121,100014,0,,Gordon Head at San Juan (SB),,,
100015,Humboldt at Penwell (SB),48.42155146,-123.365418,100015,0,,Humboldt at Penwell (SB),,,
100016,Sooke at Townsend (EB),48.37837,-123.722045,100016,0,,Sooke at Townsend (EB),,,
100017,Burdett at Douglas (EB),48.422044,-123.365448,100017,0,,Burdett at Douglas (EB),,,
100018,Sooke 5250 block (EB),48.389028,-123.642837,100018,0,,Sooke 5250 block (EB),,,
100019,Douglas at Courtney (SB),48.422729,-123.365951,100019,0,,Douglas at Courtney (SB),,,
100021,Superior at Oswego (EB),48.419392,-123.376034,100021,0,,Superior at Oswego (EB),,,
100022,Menzies at Michigan (SB),48.416605,-123.373333,100022,0,,Menzies at Michigan (SB),,,
100024,Blanshard Terminus Bay B,48.421222,-123.363362,100024,0,,Blanshard Terminus Bay B,,,
100025,Blanshard Terminus Bay A ,48.421881,-123.36407,100025,0,,Blanshard Terminus Bay A,,,
100026,Government at Broughton (NB),48.424059,-123.36795,100026,0,,Government at Broughton (NB),,,
100028,Fort at Langley (EB),48.424948,-123.368905,100028,0,,Fort at Langley (EB),,,
100029,Legislature Terminus Bay C,48.418968,-123.368941,100029,0,,Legislature Terminus Bay C,,,
100030,Oswego at Michigan (NB),48.418739,-123.377113,100030,0,,Oswego at Michigan (NB),,,
100031,Menzies at Simcoe (NB),48.415551,-123.373694,100031,0,,Menzies at Simcoe (NB),,,
100032,Douglas at Fort (NB),48.424366,-123.365305,100032,0,,Douglas at Fort (NB),,,
100033,Fort at Douglas (EB),48.424495,-123.36457,100033,0,,Fort at Douglas (EB),,,
100034,Douglas at Fort (SB),48.424957,-123.365339,100034,0,,Douglas at Fort (SB),,,
100035,Fairfield at Quadra (WB),48.420206,-123.36074,100035,0,,Fairfield at Quadra (WB),,,
100036,Menzies at Simcoe (SB),48.414961,-123.374471,100036,0,,Menzies at Simcoe (SB),,,
100037,Douglas at Avalon (NB),48.414869,-123.366292,100037,0,,Douglas at Avalon (NB),,,
100039,Fairfield at Quadra (EB),48.420182,-123.360993,100039,0,,Fairfield at Quadra (EB),,,
100040,Humboldt at Quadra (WB),48.418809,-123.361062,100040,0,,Humboldt at Quadra (WB),,,
100041,Humboldt at Quadra (EB),48.418614,-123.361003,100041,0,,Humboldt at Quadra (EB),,,
100042,Douglas at View (SB),48.425742,-123.365108,100042,0,,Douglas at View (SB),,,
100043,Fairfield at Quadra (EB),48.419355,-123.360263,100043,0,,Fairfield at Quadra (EB),,,
100044,Oswego at St James (NB),48.417058,-123.378942,100044,0,,Oswego at St James (NB),,,
100045,Fort at Blanshard (EB),48.424168,-123.361818,100045,0,,Fort at Blanshard (EB),,,
100046,Douglas at Avalon (SB),48.413574,-123.367266,100046,0,,Douglas at Avalon (SB),,,
100047,Wharf at Yates (SB),48.427086,-123.370485,100047,0,,Wharf at Yates (SB),,,
100048,Yates at Broad (WB),48.426436,-123.365694,100048,0,,Yates at Broad (WB),,,
100049,Niagara at Medana (WB),48.413682,-123.375213,100049,0,,Niagara at Medana (WB),,,
