route_id,service_id,block_id,trip_id,trip_sequence,trip_type,trip_headsign,direction_id,pattern_id,shape_id,pattern_count,direction_code,pattern_code,pattern_rank,hierarchy
21-Victoria,aaVIC1804-MV1804ST-Sunday-99,899771,aa6422617,1,0,Downtown To 7 UVic,1,100,1-21-364,2327,0,100,29,1
7-Victoria,aaVIC1804-MV1804ST-Sunday-99,899771,aa6422619,2,0,UVic Via Fairfield,1,100,1-7-278,3222,0,100,19,1
7-Victoria,aaVIC1804-MV1804ST-Sunday-99,899771,aa6422622,3,0,Downtown To 21 Interurban,0,200,1-7-277,2852,1,200,25,1
21-Victoria,aaVIC1804-MV1804ST-Sunday-99,899771,aa6422624,4,0,Interurban - Viaduct Loop,0,220,1-21-362,332,1,220,108,2
14-Victoria,aaVIC1804-MV1804ST-Sunday-99,899772,aa6422167,1,0,UVic via Richmond,0,200,1-14-367,5298,1,200,6,1
14-Victoria,aaVIC1804-MV1804ST-Sunday-99,899772,aa6422170,2,0,Vic General via Craigflower,1,100,1-14-366,5387,0,100,5,1
14-Victoria,aaVIC1804-MV1804ST-Sunday-99,899772,aa6422173,3,0,UVic via Richmond,0,200,1-14-367,5298,1,200,6,1
14-Victoria,aaVIC1804-MV1804ST-Sunday-99,899772,aa6422176,4,0,Vic General via Craigflower,1,100,1-14-366,5387,0,100,5,1
14-Victoria,aaVIC1804-MV1804ST-Sunday-99,899772,aa6422179,5,0,UVic via Richmond,0,200,1-14-367,5298,1,200,6,1
14-Victoria,aaVIC1804-MV1804ST-Sunday-99,899772,aa6422188,6,0,Vic General via Craigflower,1,100,1-14-366,5387,0,100,5,1
50-Victoria,aaVIC1804-MV1804ST-Sunday-99,899772,aa6423257,7,0,Downtown,0,200,1-50-314,6058,1,200,2,1
50-Victoria,aaVIC1804-MV1804ST-Sunday-99,899772,aa6423251,8,0,Langford to 61 Sooke,1,100,1-50-315,6154,0,100,1,1
61-Victoria,aaVIC1804-MV1804ST-Sunday-99,899772,aa6423253,9,0,Sooke,1,200,1-61-397,1438,1,200,41,1
61-Victoria,aaVIC1804-MV1804ST-Sunday-99,899772,aa6423252,10,0,Langford Exch to 50 Downtown,0,100,1-61-407,1560,0,100,39,1
