route_short_name,route_long_name
1,South Oak Bay / Downtown
2,James Bay / South Oak Bay / Willows
3,James Bay / Royal Jubilee
4,UVic / Downtown
6,Royal Oak Exch / Downtown
7,UVic / Downtown
8,Interurban / Tillicum Mall / Oak Bay
10,James Bay / Royal Jubilee
11,Tillicum Mall / UVic
12,University Heights / UVic
13,10 Mile Point / UVic
14,Vic General / UVic
15,Esquimalt / UVic
16,Uptown / UVic
17,Cedar Hill
21,Interurban / Downtown
22,Vic General / Hillside Mall
24,Cedar Hill / Admirals Walk
25,Maplewood / Admirals Walk
26,Dockyard / UVic
27,Gordon Head / Downtown
28,Majestic / Downtown
30,Royal Oak Exch / Downtown
31,Royal Oak Exch / Downtown
32,Cordova Bay / Royal Oak Exch
35,Ridge
39,Westhills / Interurban / Royal Oak / UVic
43,Royal Roads via Belmont Park
46,Dockyard / Westhills
47,Goldstream Meadows / Downtown
48,Happy Valley / Downtown
50,Langford / Downtown
51,Langford / UVic
52,Colwood Exch / Bear Mountain
53,Colwood Exch / Langford via Atkins
54,Metchosin
55,Happy Valley
56,Thetis Heights / Langford Exch
57,Thetis Heights / Langford Exch
58,Goldstream Meadows
59,Triangle Mountain
60,Wishart
61,Sooke / Langford / Downtown
63,Otter Point
64,East Sooke
65,Sooke / Downtown via Westhills
70,Swartz Bay / Downtown
71,Swartz Bay / Downtown
72,Swartz Bay / Downtown
75,Saanichton / Royal Oak / Downtown
81,Brentwood / Sidney / Swartz Bay
82,Saanichton / Sidney via Stautw
83,Sidney / Brentwood / Royal Oak
85,North Saanich
88,Airport / Sidney
